Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Origin (product.metafields.custom.origin),Harvest region (product.metafields.custom.harvest_region),Producer (product.metafields.custom.producer),Harvest (product.metafields.custom.harvest),Visibility (product.metafields.custom.visibility),Availability status (product.metafields.custom.availability_status),Packaging (product.metafields.custom.packaging),Gift ready (product.metafields.custom.gift_ready),Bulk packs (product.metafields.custom.bulk_packs),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Condition,Google Shopping / Custom product
Medjool Dates — Al Kufra Valley,medjool-dates-al-kufra,"<p>Hand-selected Medjool dates from the deep southern groves of Al Kufra Valley — where desert heat sculpts each fruit into concentrated sweetness. Soft caramel richness, a dense syrup-like texture, and a lingering finish that speaks of ancient palm cultivation.</p><p><strong>Origin:</strong> Al Kufra Valley, Libya<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Ceramic vessel<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>Store in a cool, dry place. Best enjoyed within six months of opening.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Medjool Dates,"dates, featured, medjool, desert-harvest, luxury-food, mediterranean",TRUE,Active,ORV-DATE-MED-500,,Size,500g,,,,,,,,68.00,78.00,30.00,TRUE,,500,g,500,g,shopify,120,DENY,550,g,TRUE,manual,https://images.unsplash.com/photo-1742204618752-295ed6d4b5e0,1,Medjool dates from Al Kufra Valley in a ceramic bowl,,FALSE,Medjool Dates Al Kufra Valley | Premium Desert Dates | Orivana,"Hand-selected Medjool dates from Al Kufra Valley, Libya. Soft caramel richness and syrup-like texture. Luxury Mediterranean dates, manually fulfilled by Orivana.","Al Kufra Valley, Libya",Southern Libyan Desert,Oasis Palm Collective,2025,public,available,Ceramic Vessel,false,,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
,medjool-dates-al-kufra,,,,,,,,ORV-DATE-MED-1000,,,1kg,,,,,,,,118.00,135.00,52.00,TRUE,,1000,g,1000,g,shopify,80,DENY,1100,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,medjool-dates-al-kufra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,2,Rows of premium Medjool dates on stone surface,,,,,,,,,,,,,,,,,,
Deglet Noor Dates — Oasis Groves,deglet-noor-dates,"<p>The date of light — translucent amber skin with delicate honeyed sweetness and an elegant, firm texture. Selected from oasis groves where underground springs meet desert sun.</p><p><strong>Origin:</strong> Oasis Groves, Tunisia<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Stone vessel<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Deglet Noor Dates,"dates, deglet-noor, oasis, mediterranean, luxury-food, tunisia",TRUE,Active,ORV-DATE-DN-500,,Size,500g,,,,,,,,48.00,55.00,21.00,TRUE,,500,g,500,g,shopify,100,DENY,550,g,TRUE,manual,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,1,Deglet Noor dates with translucent amber skin,,FALSE,Deglet Noor Dates Oasis Groves | Premium Tunisian Dates | Orivana,Deglet Noor dates from Tunisian oasis groves. Translucent amber skin with honeyed sweetness. The date of light — luxury dates manually shipped by Orivana.,"Oasis Groves, Tunisia",Southern Tunisian Oasis,Oasis Palm Collective,2025,public,available,Stone Vessel,false,,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
,deglet-noor-dates,,,,,,,,ORV-DATE-DN-1000,,,1kg,,,,,,,,83.00,95.00,36.00,TRUE,,1000,g,1000,g,shopify,60,DENY,1100,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Private Harvest — Autumn Allocation,private-autumn-allocation,"<p>An Inner Circle exclusive — a limited autumn allocation of Medjool and Deglet Noor dates, reserved for members before public release. Available in 500g and 1kg reserve vessels.</p><p><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Limited Harvest,"dates, exclusive, seasonal, inner-circle, member-only, luxury-food",TRUE,Active,ORV-DATE-PRIVATE-AUTUMN-500,,Size,500g,,,,,,,,98.00,112.00,48.00,TRUE,,500,g,500,g,shopify,25,DENY,550,g,TRUE,manual,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,1,Private Harvest autumn allocation,,FALSE,Private Harvest Autumn Allocation | Inner Circle Exclusive | Orivana,Inner Circle exclusive autumn date allocation. Member-only luxury harvest from Orivana.,"Oasis Groves, Tunisia",Southern Tunisian Oasis,Oasis Palm Collective,Autumn 2025,member,available,Reserve Vessel,false,,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
,private-autumn-allocation,,,,,,,,ORV-DATE-PRIVATE-AUTUMN-1000,,,1kg,,,,,,,,185.00,210.00,92.00,TRUE,,1000,g,1000,g,shopify,15,DENY,1100,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Export Reserve — Bulk Date Selection,export-reserve-dates,<p>Trade-only bulk allocation for distributors and wholesale partners — pallet-ready Medjool selection with full origin documentation and export certification.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Bulk Selection,"dates, trade, bulk, wholesale, export, b2b, medjool",TRUE,Active,ORV-DATE-EXPORT-25x20,,Volume,25kg × 20 cases,,,,,,,,890.00,995.00,640.00,TRUE,,500,kg,25,kg,shopify,10,DENY,520000,g,TRUE,manual,https://images.unsplash.com/photo-1742204618752-295ed6d4b5e0,1,Export reserve bulk Medjool dates,,FALSE,Export Reserve Bulk Medjool Dates | Wholesale Trade | Orivana,Trade-only bulk Medjool date allocation with origin documentation. Wholesale Mediterranean dates from Orivana.,"Al Kufra Valley, Libya",Southern Libyan Desert,Oasis Palm Collective,2025,trade,available,Export Case,false,"[{""label"":""Pallet (20 cases)"", ""quantity"":20, ""unit"":""cases""}]","Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
Extra Virgin Olive Oil — Coastal Groves,coastal-olive-oil,<p>Extra Virgin Olive Oil — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils > Olive Oil",Extra Virgin Olive Oil,"olive-oil, coming-soon, mediterranean",TRUE,Active,ORV-OIL-EVOO-500,,Size,500ml,,,,,,,,54.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5,1,Extra virgin olive oil in dark glass bottle,,FALSE,Extra Virgin Olive Oil | Orivana,Cold-pressed extra virgin olive oil — coming soon to Orivana.,,,,,public,coming_soon,,false,,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils",,,New,FALSE
,coastal-olive-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1416879595882-3373a0480b5b,2,Olive branches from Mediterranean coastal groves,,,,,,,,,,,,,,,,,,
Raw Wildflower Honey — Mediterranean Hills,raw-wildflower-honey,<p>Wildflower Honey — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey",Wildflower Honey,"honey, coming-soon, mediterranean",TRUE,Active,ORV-HONEY-WF-350,,Size,350g,,,,,,,,42.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1771405317876-616a62efd97e,1,Raw wildflower honey,,FALSE,Raw Wildflower Honey | Orivana,Raw wildflower honey — coming soon to Orivana.,,,,,public,coming_soon,,false,,"Food, Beverages & Tobacco > Food Items > Condiments & Sauces",,,New,FALSE
,raw-wildflower-honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1773957949151-338dedf0edce,2,Raw honeycomb texture,,,,,,,,,,,,,,,,,,
Seasonal Selection — Spring Harvest,seasonal-harvest-box,<p>Curated Gift Collection — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Curated Gift Collection,"gift, seasonal, coming-soon, dates, olive-oil, honey",TRUE,Active,ORV-GIFT-SEASONAL-SPRING,,Title,Default Title,,,,,,,,145.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe,1,Seasonal Selection gift box,,FALSE,Seasonal Selection Spring Harvest | Orivana,Curated spring harvest gift box — coming soon to Orivana.,,,,,member,coming_soon,,true,,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",,,New,FALSE
Curated Gift — Dates & Olive Oil,gift-dates-olive-oil,<p>Curated Gift Collection — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Curated Gift Collection,"gift, coming-soon, dates, olive-oil",TRUE,Active,ORV-GIFT-DATES-OIL,,Size,Gift Box,,,,,,,,118.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe,1,Curated gift box with dates and olive oil,,FALSE,Dates & Olive Oil Gift | Orivana,Luxury gift pairing dates and olive oil — coming soon.,,,,,public,coming_soon,,true,,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",,,New,FALSE
Curated Gift — Dates & Honey,gift-dates-honey,<p>Curated Gift Collection — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Curated Gift Collection,"gift, coming-soon, dates, honey",TRUE,Active,ORV-GIFT-DATES-HONEY,,Size,Gift Box,,,,,,,,92.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1742204618752-295ed6d4b5e0,1,Curated gift box with dates and honey,,FALSE,Dates & Honey Gift | Orivana,Luxury gift pairing dates and honey — coming soon.,,,,,public,coming_soon,,true,,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",,,New,FALSE
Curated Gift — Olive Oil & Honey,gift-olive-oil-honey,<p>Curated Gift Collection — coming soon to Orivana.</p>,Orivana,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Curated Gift Collection,"gift, coming-soon, olive-oil, honey",TRUE,Active,ORV-GIFT-OIL-HONEY,,Size,Gift Box,,,,,,,,96.00,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5,1,Curated gift box with olive oil and honey,,FALSE,Olive Oil & Honey Gift | Orivana,Luxury gift pairing olive oil and honey — coming soon.,,,,,public,coming_soon,,true,,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",,,New,FALSE
